Ramas de actividad,Año,Total,Código
añadido bruto total,2019,33346591,48
netos sobre los productos,2021,3376720,48
netos sobre los productos,2020,2881602,48
netos sobre los productos,2019,3421215,48
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,35446900,48
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,32929019,48
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,36767806,48
"Agricultura, ganadería, silvicultura y pesca",2021,537609,9
"Agricultura, ganadería, silvicultura y pesca",2020,478764,9
"Agricultura, ganadería, silvicultura y pesca",2019,423763,9
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,2948934,9
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2703579,9
